"Target","Type","Variable","RDA1","RDA2"
"BiomassDrivers","Site_score","Gv",-0.0279488155614135,0.464881892331223
"BiomassDrivers","Site_score","Bw",0.0174895838450532,0.581043124440878
"BiomassDrivers","Site_score","Ks_3",0.115590460144943,-0.224508097153672
"BiomassDrivers","Site_score","Ks_9",0.351389805670661,0.0010751828463982
"BiomassDrivers","Site_score","Me",-0.0114552329410008,0.321891600229935
"BiomassDrivers","Site_score","Mo",-0.65478885579017,0.73561995873329
"BiomassDrivers","Site_score","Mu",-0.0913367310216437,0.00879145813423057
"BiomassDrivers","Site_score","Ng",-0.17699759671912,-0.38050626943331
"BiomassDrivers","Site_score","Wc",0.029766050768638,-0.0670738257706791
"BiomassDrivers","Site_score","Ft",0.105245952767115,-0.0454168064317442
"BiomassDrivers","Site_score","Sh",-0.0331296496616873,-0.309951112600782
"BiomassDrivers","Site_score","Ib_a",0.303907126392725,0.121686636142643
"BiomassDrivers","Site_score","Ib_b",0.36332982206506,0.35826414290301
"BiomassDrivers","Site_score","Ib_c",0.283487916788864,-0.279415337240652
"BiomassDrivers","Site_score","Vo",0.0371850240879711,-0.56445077047412
"BiomassDrivers","Site_score","Od",-0.499741102713864,-0.0673778950887673
"BiomassDrivers","Site_score","Mg",0.0418048730598805,-0.341398856124258
"BiomassDrivers","Site_score","Kn",0.102870584078881,0.119513914569801
"BiomassDrivers","Site_score","Wd",-0.256669215260893,-0.432668940013424
"BiomassDrivers","Loading","BD->EF",-0.035315136175666,-0.254787981868063
"BiomassDrivers","Loading","NO3->EF",0.485344007993332,0.30713753720255
"BiomassDrivers","Loading","PO4->EF",-0.0905917422400525,-0.234517582758165
"BiomassDrivers","Loading","Temp->EF",-0.405693444980041,0.441985430658092
"BiomassDrivers","Environment_score","Richness",0.418964075530409,-0.391527431545049
"BiomassDrivers","Environment_score","Biomass",0.607162905806582,-0.17921629046536
"BiomassDrivers","Environment_score","Temp",0.428412367244531,0.250045764860338
"BiomassDrivers","Environment_score","NO3",0.296208844585084,-0.339470100712229
"BiomassDrivers","Environment_score","PO4",-0.374020663721395,0.353120776889476
"BiomassDrivers","Environment_score","Depth",0.0231206698162389,0.103111998243274
"RichnessDrivers","Site_score","Gv",-0.530993888641982,-0.739365590266147
"RichnessDrivers","Site_score","Bw",0.100518463243249,0.0976596131462649
"RichnessDrivers","Site_score","Ks_3",0.304367017030098,0.0180684341208619
"RichnessDrivers","Site_score","Ks_9",0.0647476961445746,0.371857603262188
"RichnessDrivers","Site_score","Me",-0.336863364732042,-0.295141158134424
"RichnessDrivers","Site_score","Mo",-0.287796517607081,-0.205113299459614
"RichnessDrivers","Site_score","Mu",0.139712108499584,0.131502903774386
"RichnessDrivers","Site_score","Ng",-0.451567604278373,0.0523591994780225
"RichnessDrivers","Site_score","Wc",-0.203742128438402,-0.0434132280952196
"RichnessDrivers","Site_score","Ft",0.47975457388799,-0.172120938984868
"RichnessDrivers","Site_score","Sh",-0.00830532209855764,-0.262696304565523
"RichnessDrivers","Site_score","Ib_a",0.364825966393098,0.00947632264469398
"RichnessDrivers","Site_score","Ib_b",0.415881739704478,0.0112855481480168
"RichnessDrivers","Site_score","Ib_c",0.299002359450151,0.126248632021817
"RichnessDrivers","Site_score","Vo",0.051878756160619,0.958812190883605
"RichnessDrivers","Site_score","Od",-0.061145942443746,-0.0207122212744337
"RichnessDrivers","Site_score","Mg",0.0354976560478058,0.286164464718114
"RichnessDrivers","Site_score","Kn",-0.259796871062869,-0.333781351994132
"RichnessDrivers","Site_score","Wd",-0.115974697258595,0.00890918057639367
"RichnessDrivers","Loading","NO3->BD",0.488350119292905,-0.11981743631299
"RichnessDrivers","Loading","PO4->BD",-0.224628278560893,0.171156385591641
"RichnessDrivers","Loading","EF->BD",-0.0870116942989267,0.449653141203579
"RichnessDrivers","Loading","Temp->BD",-0.33628152270472,-0.404674345903397
"RichnessDrivers","Environment_score","Biomass",0.721194193599619,0.190913932554148
"RichnessDrivers","Environment_score","Temp",0.507057102546737,-0.480738509684144
"RichnessDrivers","Environment_score","PO4",-0.26280972069934,-0.214071964058167
"RichnessDrivers","Environment_score","Depth",-0.236158721205858,-0.362722476912526
"PairwiseFeedback","Site_score","Gv",-0.184707433115573,0.40394406979149
"PairwiseFeedback","Site_score","Bw",0.10482130347969,0.440276746459586
"PairwiseFeedback","Site_score","Ks_3",0.318589715310336,-0.181903344916286
"PairwiseFeedback","Site_score","Ks_9",0.0458998900593092,0.419217454102084
"PairwiseFeedback","Site_score","Me",-0.0846699506153599,-0.0965514295815193
"PairwiseFeedback","Site_score","Mo",-0.368719416653451,-0.0976597035822256
"PairwiseFeedback","Site_score","Mu",0.0360858417666743,-0.364533474160877
"PairwiseFeedback","Site_score","Ng",-0.237301918864225,-0.0785550679534458
"PairwiseFeedback","Site_score","Wc",-0.233254546351958,0.313763279214366
"PairwiseFeedback","Site_score","Ft",0.293138924305721,0.0517305662235856
"PairwiseFeedback","Site_score","Sh",-0.0043717281186779,-0.390555284959348
"PairwiseFeedback","Site_score","Ib_a",0.34350727275384,0.0381654093581395
"PairwiseFeedback","Site_score","Ib_b",0.419454329415895,0.152598555607706
"PairwiseFeedback","Site_score","Ib_c",0.290811797403252,-0.298480295825233
"PairwiseFeedback","Site_score","Vo",-0.191793741931692,0.225685309826791
"PairwiseFeedback","Site_score","Od",-0.236541908396176,-0.634516756860256
"PairwiseFeedback","Site_score","Mg",0.0446677173262719,0.443026141073121
"PairwiseFeedback","Site_score","Kn",-0.084383089125429,-0.0497876049648742
"PairwiseFeedback","Site_score","Wd",-0.271233058648449,-0.295864568852802
"PairwiseFeedback","Loading","BD<->EF",-0.210107105499099,0.170586360052275
"PairwiseFeedback","Loading","BD<->NO3",0.422640444976154,-0.281889832279922
"PairwiseFeedback","Loading","BD<->PO4",-0.325392410695824,-0.00118647842066769
"PairwiseFeedback","Loading","NO3<->EF",0.231194218221267,0.485922458438021
"PairwiseFeedback","Loading","PO4<->EF",-0.165828438489202,-0.254786916610372
"PairwiseFeedback","Environment_score","Biomass",0.667409586059632,-0.233313955995002
"PairwiseFeedback","Environment_score","Temp",0.545462083295541,-0.037886015328805
"PairwiseFeedback","Environment_score","PO4",-0.193736292905367,-0.515082299583075
"PairwiseFeedback","Environment_score","Depth",-0.0653584730944798,0.712973410700032
"TriangularFeedback","Site_score","Gv",0.173015508598382,0.544234134911141
"TriangularFeedback","Site_score","Bw",-0.115331930571024,-0.378270167653103
"TriangularFeedback","Site_score","Ks_3",-0.33102071117359,-0.374473809310128
"TriangularFeedback","Site_score","Ks_9",-0.0214511781188358,0.054079174822613
"TriangularFeedback","Site_score","Me",0.0934486313223722,0.823950794554878
"TriangularFeedback","Site_score","Mo",0.367520736285077,0.601942855679736
"TriangularFeedback","Site_score","Mu",0.0181333532306259,-0.353010075995044
"TriangularFeedback","Site_score","Ng",0.153013150942657,0.968794832343886
"TriangularFeedback","Site_score","Wc",0.137284565979555,-0.250249056169322
"TriangularFeedback","Site_score","Ft",-0.268168449939978,-0.960495179539106
"TriangularFeedback","Site_score","Sh",0.0686563087453855,-0.26937756887227
"TriangularFeedback","Site_score","Ib_a",-0.364663331516526,0.129697819025088
"TriangularFeedback","Site_score","Ib_b",-0.369078564673875,0.503256649148065
"TriangularFeedback","Site_score","Ib_c",-0.237006464142317,0.137765855879448
"TriangularFeedback","Site_score","Vo",0.127310245639697,-0.267010342090526
"TriangularFeedback","Site_score","Od",0.322986091219544,-0.300580921943149
"TriangularFeedback","Site_score","Mg",-0.15958076487583,-0.51381168483119
"TriangularFeedback","Site_score","Kn",0.0665782440392217,0.379014064870955
"TriangularFeedback","Site_score","Wd",0.33835455900946,-0.475457374831967
"TriangularFeedback","Loading","Type.I.N",-0.248195007214136,-0.517765039234686
"TriangularFeedback","Loading","Type.II.N",-0.351091017221119,0.376086791327205
"TriangularFeedback","Loading","Type.I.P",0.292193300162507,0.000858153624818812
"TriangularFeedback","Loading","Type.II.P",0.37330605588546,0.0087950615613369
"TriangularFeedback","Environment_score","Richness",-0.312794707438728,-0.428161058594826
"TriangularFeedback","Environment_score","Biomass",-0.594681644087756,0.12303193332397
"TriangularFeedback","Environment_score","Temp",-0.496758687459053,-0.257249200202438
"TriangularFeedback","Environment_score","NO3",-0.331859005457945,-0.369366120476553
"TriangularFeedback","Environment_score","Depth",-0.0392341157995877,-0.452101485023175
